Date,pharm_classes,Actual_Rx
2023-01-01,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",14
2023-01-01,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",10
2023-01-01,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",11
2023-01-01,"Biguanide, Biguanides",14
2023-01-01,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",16
2023-01-01,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",12
2023-01-01,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",5
2023-01-01,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",5
2023-01-01,"Increased Diuresis at Loop of Henle, Loop Diuretic",6
2023-01-01,"Increased Diuresis, Thiazide Diuretic, Thiazides",29
2023-01-01,"Insulin Analog, Insulin",9
2023-01-01,"Macrolide Antimicrobial, Macrolides",7
2023-01-01,"Penicillin-class Antibacterial, Penicillins",14
2023-01-01,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",11
2023-01-01,"Thyroxine, l-Thyroxine",7
2023-01-02,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",20
2023-01-02,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",9
2023-01-02,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",6
2023-01-02,"Biguanide, Biguanides",6
2023-01-02,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",7
2023-01-02,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",12
2023-01-02,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",4
2023-01-02,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",7
2023-01-02,"Increased Diuresis at Loop of Henle, Loop Diuretic",6
2023-01-02,"Increased Diuresis, Thiazide Diuretic, Thiazides",8
2023-01-02,"Insulin Analog, Insulin",5
2023-01-02,"Macrolide Antimicrobial, Macrolides",11
2023-01-02,"Penicillin-class Antibacterial, Penicillins",21
2023-01-02,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",5
2023-01-02,"Thyroxine, l-Thyroxine",11
2023-01-03,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",16
2023-01-03,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",10
2023-01-03,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",14
2023-01-03,"Biguanide, Biguanides",8
2023-01-03,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",15
