Date,Hour,RxCount,RxCount_Smoothed,RequiredStaff,ScheduledStaff,ScheduledHeadcount,ScheduleSource,OverUnder,OverUnderFlag
2023-01-01,8,5,8.0,1.25,0.45775881553952313,1.0,StaffSchedule,-0.7922411844604769,Understaffed
2023-01-01,9,11,11.0,2.75,1.0460628436338706,2.0,StaffSchedule,-1.7039371563661294,Understaffed
2023-01-01,10,17,17.333333333333332,4.25,1.9442341659851314,2.0,StaffSchedule,-2.305765834014869,Understaffed
2023-01-01,11,24,22.333333333333332,6.0,2.939064387132251,3.0,StaffSchedule,-3.060935612867749,Understaffed
2023-01-01,12,26,28.666666666666668,6.5,3.6135940734235095,4.0,StaffSchedule,-2.8864059265764905,Understaffed
2023-01-01,13,36,31.333333333333332,9.0,3.6135940734235095,4.0,StaffSchedule,-5.38640592657649,Understaffed
2023-01-01,14,32,26.0,8.0,2.939064387132251,3.0,StaffSchedule,-5.060935612867749,Understaffed
2023-01-01,15,10,16.666666666666668,2.5,1.9442341659851314,2.0,StaffSchedule,-0.5557658340148686,Understaffed
2023-01-01,16,8,6.333333333333333,2.0,1.0460628436338706,2.0,StaffSchedule,-0.9539371563661294,Understaffed
2023-01-01,17,1,4.5,1.0,0.45775881553952313,1.0,StaffSchedule,-0.5422411844604769,Understaffed
2023-01-02,8,2,6.5,1.0,0.831197940680044,1.0,StaffSchedule,-0.16880205931995595,Understaffed
2023-01-02,9,11,6.666666666666667,2.75,1.8994397309980637,2.0,StaffSchedule,-0.8505602690019363,Understaffed
2023-01-02,10,7,12.666666666666666,1.75,3.5303382045453895,4.0,StaffSchedule,1.7803382045453895,Overstaffed
2023-01-02,11,20,18.666666666666668,5.0,5.336749797447554,6.0,StaffSchedule,0.3367497974475544,Overstaffed
2023-01-02,12,29,24.0,7.25,6.561560040614662,7.0,StaffSchedule,-0.6884399593853381,Understaffed
2023-01-02,13,23,23.666666666666668,5.75,6.561560040614662,7.0,StaffSchedule,0.8115600406146619,Overstaffed
2023-01-02,14,19,19.666666666666668,4.75,5.336749797447554,6.0,StaffSchedule,0.5867497974475544,Overstaffed
2023-01-02,15,17,15.0,4.25,3.5303382045453895,4.0,StaffSchedule,-0.7196617954546105,Understaffed
2023-01-02,16,9,9.0,2.25,1.8994397309980637,2.0,StaffSchedule,-0.35056026900193626,Understaffed
2023-01-02,17,1,5.0,1.0,0.831197940680044,1.0,StaffSchedule,-0.16880205931995595,Understaffed
2023-01-03,8,7,8.5,1.75,0.831197940680044,1.0,StaffSchedule,-0.918802059319956,Understaffed
2023-01-03,9,10,11.0,2.5,1.8994397309980637,2.0,StaffSchedule,-0.6005602690019363,Understaffed
2023-01-03,10,16,18.666666666666668,4.0,3.5303382045453895,4.0,StaffSchedule,-0.4696617954546105,Understaffed
2023-01-03,11,30,25.333333333333332,7.5,5.336749797447554,6.0,StaffSchedule,-2.1632502025524456,Understaffed
2023-01-03,12,30,30.666666666666668,7.5,6.561560040614662,7.0,StaffSchedule,-0.9384399593853381,Understaffed
2023-01-03,13,32,26.333333333333332,8.0,6.561560040614662,7.0,StaffSchedule,-1.438439959385338,Understaffed
2023-01-03,14,17,24.0,4.25,5.336749797447554,6.0,StaffSchedule,1.0867497974475544,Overstaffed
2023-01-03,15,23,16.666666666666668,5.75,3.5303382045453895,4.0,StaffSchedule,-2.2196617954546105,Understaffed
2023-01-03,16,10,11.333333333333334,2.5,1.8994397309980637,2.0,StaffSchedule,-0.6005602690019363,Understaffed
2023-01-03,17,1,5.5,1.0,0.831197940680044,1.0,StaffSchedule,-0.16880205931995595,Understaffed
2023-01-04,8,2,3.0,1.0,0.831197940680044,1.0,StaffSchedule,-0.16880205931995595,Understaffed
