PharmacistID,Shift,HoursWorked,Wage,WeekStartDate
RPH001,AM,13.33,60.71,2022-12-26
RPH001,PM,10.72,60.71,2022-12-26
RPH002,AM,9.36,62.5,2022-12-26
RPH002,PM,8.63,62.5,2022-12-26
RPH003,AM,12.45,52.84,2022-12-26
RPH003,PM,10.51,52.84,2022-12-26
RPH004,AM,8.97,55.32,2022-12-26
RPH004,PM,9.73,55.32,2022-12-26
RPH005,AM,12.4,67.41,2022-12-26
RPH005,PM,14.1,67.41,2022-12-26
RPH006,AM,12.22,47.37,2022-12-26
RPH006,PM,10.29,47.37,2022-12-26
RPH007,AM,8.16,69.78,2022-12-26
RPH007,PM,9.13,69.78,2022-12-26
RPH008,AM,12.52,58.37,2022-12-26
RPH008,PM,11.67,58.37,2022-12-26
RPH009,AM,13.24,72.85,2022-12-26
RPH009,PM,12.11,72.85,2022-12-26
RPH010,AM,13.63,69.97,2022-12-26
RPH010,PM,13.55,69.97,2022-12-26
RPH011,AM,13.29,59.87,2022-12-26
RPH011,PM,12.77,59.87,2022-12-26
RPH012,AM,13.86,60.55,2022-12-26
RPH012,PM,13.39,60.55,2022-12-26
RPH013,AM,15.28,72.36,2022-12-26
RPH013,PM,10.26,72.36,2022-12-26
RPH014,AM,12.62,70.28,2022-12-26
RPH014,PM,10.36,70.28,2022-12-26
RPH015,AM,14.45,68.32,2022-12-26
RPH015,PM,12.49,68.32,2022-12-26
RPH001,AM,11.53,60.71,2023-01-02
RPH001,PM,9.25,60.71,2023-01-02
RPH002,AM,12.35,62.5,2023-01-02
RPH002,PM,14.54,62.5,2023-01-02
RPH003,AM,14.08,52.84,2023-01-02
RPH003,PM,12.94,52.84,2023-01-02
RPH004,AM,11.05,55.32,2023-01-02
RPH004,PM,14.85,55.32,2023-01-02
RPH005,AM,14.0,67.41,2023-01-02
RPH005,PM,11.57,67.41,2023-01-02
RPH006,AM,9.26,47.37,2023-01-02
RPH006,PM,10.32,47.37,2023-01-02
RPH007,AM,14.47,69.78,2023-01-02
RPH007,PM,13.41,69.78,2023-01-02
RPH008,AM,10.66,58.37,2023-01-02
RPH008,PM,9.4,58.37,2023-01-02
RPH009,AM,9.08,72.85,2023-01-02
RPH009,PM,10.23,72.85,2023-01-02
RPH010,AM,10.75,69.97,2023-01-02
RPH010,PM,9.55,69.97,2023-01-02
RPH011,AM,11.78,59.87,2023-01-02
RPH011,PM,13.46,59.87,2023-01-02
RPH012,AM,11.4,60.55,2023-01-02
RPH012,PM,8.0,60.55,2023-01-02
RPH013,AM,11.43,72.36,2023-01-02
RPH013,PM,10.26,72.36,2023-01-02
RPH014,AM,12.11,70.28,2023-01-02
RPH014,PM,11.13,70.28,2023-01-02
RPH015,AM,9.29,68.32,2023-01-02
RPH015,PM,9.79,68.32,2023-01-02
RPH001,AM,9.57,60.71,2023-01-09
RPH001,PM,9.73,60.71,2023-01-09
RPH002,AM,8.96,62.5,2023-01-09
RPH002,PM,9.02,62.5,2023-01-09
RPH003,AM,11.0,52.84,2023-01-09
RPH003,PM,9.24,52.84,2023-01-09
RPH004,AM,15.12,55.32,2023-01-09
RPH004,PM,12.97,55.32,2023-01-09
RPH005,AM,10.25,67.41,2023-01-09
RPH005,PM,10.81,67.41,2023-01-09
RPH006,AM,13.68,47.37,2023-01-09
RPH006,PM,12.44,47.37,2023-01-09
RPH007,AM,11.2,69.78,2023-01-09
RPH007,PM,12.68,69.78,2023-01-09
RPH008,AM,14.17,58.37,2023-01-09
RPH008,PM,12.96,58.37,2023-01-09
RPH009,AM,11.75,72.85,2023-01-09
RPH009,PM,10.09,72.85,2023-01-09
RPH010,AM,15.37,69.97,2023-01-09
RPH010,PM,14.11,69.97,2023-01-09
RPH011,AM,11.71,59.87,2023-01-09
RPH011,PM,11.52,59.87,2023-01-09
RPH012,AM,13.76,60.55,2023-01-09
RPH012,PM,12.71,60.55,2023-01-09
RPH013,AM,11.81,72.36,2023-01-09
RPH013,PM,9.89,72.36,2023-01-09
RPH014,AM,12.67,70.28,2023-01-09
RPH014,PM,11.13,70.28,2023-01-09
RPH015,AM,11.95,68.32,2023-01-09
RPH015,PM,14.68,68.32,2023-01-09
RPH001,AM,20.41,60.71,2023-01-16
RPH001,PM,22.09,60.71,2023-01-16
RPH002,AM,16.15,62.5,2023-01-16
RPH002,PM,18.56,62.5,2023-01-16
