DrugName_norm,DrugClass
fycompa,"AMPA Receptor Antagonists, Cytochrome P450 2C8 Inhibitors, Cytochrome P450 3A4 Inhibitors, Noncompetitive AMPA Glutamate Receptor Antagonist, UGT1A9 Inhibitors, UGT2B7 Inhibitors"
disulfiram,"Acetyl Aldehyde Dehydrogenase Inhibitors, Aldehyde Dehydrogenase Inhibitor"
b force,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
botox cosmetic,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
dysport,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
jeuveau,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
myobloc,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
xeomin,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
renotox,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Actively Acquired Immunity, Allergens, Allergens, Allergens, Allergens, Allergens, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper, Copper-containing Intrauterine Device, Decreased Embryonic Implantation, Decreased Sperm Motility, Dietary Proteins, Inactivated Influenza B Virus Vaccine, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Large Intestinal Motility, Influenza Vaccines, Inhibit Ovum Fertilization, Inhibition Large Intestine Fluid/Electrolyte Absorption, Mood Stabilizer, Non-Standardized Food Allergenic Extract, Osmotic Activity, Osmotic Laxative, Potassium Compounds, Potassium Salt, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Vaccines, Inactivated, Vegetable Proteins"
bio biological detox,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Actively Acquired Immunity, Live Vaccinia Virus Vaccine, Smallpox Vaccine, Vaccines, Live, Unattenuated"
neurotox,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Allergens, Allergens, Allergens, Allergens, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper, Copper-containing Intrauterine Device, Decreased Embryonic Implantation, Decreased Sperm Motility, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Inhibit Ovum Fertilization, Mood Stabilizer, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen"
dysbio plus,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Allergens, Antimalarial, Cell-mediated Immunity, Increased Histamine Release, Increased IgG Production, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins"
intestinal distress,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Allergens, Antimalarial, Cell-mediated Immunity, Increased Histamine Release, Increased IgG Production, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins"
biological complex,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Blood Coagulation Factor, Calcium, Cations, Divalent, Increased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative"
bac,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Neuromuscular Blockade, Neuromuscular Blocker"
botox,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Neuromuscular Blockade, Neuromuscular Blocker"
ammonium lactate,Acidifying Activity
cornex,Acidifying Activity
potassium citrate sodium citrate and citric acid,"Acidifying Activity, Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
tricitrates,"Acidifying Activity, Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
dairy antigens,"Acidifying Activity, Acidifying Activity, Allergens, Allergens, Allergens, Anti-coagulant, Anti-coagulant, Blood Coagulation Factor, Calcium Chelating Activity, Calcium Chelating Activity, Calcium, Calculi Dissolution Agent, Calculi Dissolution Agent, Cations, Divalent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity, Dietary Proteins, Dietary Proteins, Dietary Proteins, Increased Coagulation Factor Activity, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Milk Proteins, Milk Proteins, Milk Proteins, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract"
acd,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
acd bloodpack pl plastic,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
acda,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
as,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
additive formula,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
anticoagulant citrate dextrose a,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
anticoagulant citrate phosphate dextrose cpd bloodpack in pl plastic,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
cpd,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
cpda1,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
cpda1 blood collection system,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
haemonetics additive formula as3,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
haemonetics anticoagulant citrate dextrose,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
haemonetics anticoagulant citrate phosphate double dextrose cp2d,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
leukotrap wb system,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
