DrugID,DrugName,DrugClass
0628-5627-22,Fycompa,"AMPA Receptor Antagonists, Cytochrome P450 2C8 Inhibitors, Cytochrome P450 3A4 Inhibitors, Noncompetitive AMPA Glutamate Receptor Antagonist, UGT1A9 Inhibitors, UGT2B7 Inhibitors"
0005-4035-62,Disulfiram,"Acetyl Aldehyde Dehydrogenase Inhibitors, Aldehyde Dehydrogenase Inhibitor"
4385-7057-62,B Force,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
0002-3391-92,BOTOX Cosmetic,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
1505-4050-02,Dysport,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
0723-0159-52,Jeuveau,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
0104-5471-02,Myobloc,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
0025-9160-52,Xeomin,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors"
4385-7047-62,Renotox,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Actively Acquired Immunity, Allergens, Allergens, Allergens, Allergens, Allergens, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper, Copper-containing Intrauterine Device, Decreased Embryonic Implantation, Decreased Sperm Motility, Dietary Proteins, Inactivated Influenza B Virus Vaccine, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Large Intestinal Motility, Influenza Vaccines, Inhibit Ovum Fertilization, Inhibition Large Intestine Fluid/Electrolyte Absorption, Mood Stabilizer, Non-Standardized Food Allergenic Extract, Osmotic Activity, Osmotic Laxative, Potassium Compounds, Potassium Salt, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Vaccines, Inactivated, Vegetable Proteins"
4385-7046-42,Bio Biological Detox,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Actively Acquired Immunity, Live Vaccinia Virus Vaccine, Smallpox Vaccine, Vaccines, Live, Unattenuated"
4385-7061-52,Neurotox,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Allergens, Allergens, Allergens, Allergens, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper, Copper-containing Intrauterine Device, Decreased Embryonic Implantation, Decreased Sperm Motility, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Inhibit Ovum Fertilization, Mood Stabilizer, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen"
4374-2117-62,DysBio Plus,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Allergens, Antimalarial, Cell-mediated Immunity, Increased Histamine Release, Increased IgG Production, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins"
